Priority Class: 1 | Queue Time: 0.17130112648010254
Priority Class: 2 | Queue Time: 6.873463153839111
Priority Class: 1 | Queue Time: 0.17489218711853027
Priority Class: 2 | Queue Time: 0.6940171718597412
Priority Class: 1 | Queue Time: 0.16661500930786133
Priority Class: 2 | Queue Time: 0.26148080825805664
Priority Class: 1 | Queue Time: 0.16187477111816406
Priority Class: 2 | Queue Time: 0.9073121547698975
Priority Class: 1 | Queue Time: 0.1620950698852539
Priority Class: 2 | Queue Time: 5.1606409549713135
Priority Class: 1 | Queue Time: 0.15984892845153809
Priority Class: 2 | Queue Time: 0.40165090560913086
Priority Class: 1 | Queue Time: 0.15766096115112305
Priority Class: 2 | Queue Time: 0.6893329620361328
Priority Class: 1 | Queue Time: 0.15470004081726074
Priority Class: 2 | Queue Time: 0.9782929420471191
Priority Class: 1 | Queue Time: 0.15407204627990723
Priority Class: 2 | Queue Time: 0.5452868938446045
Priority Class: 1 | Queue Time: 0.14902472496032715
Priority Class: 2 | Queue Time: 0.470653772354126
Priority Class: 1 | Queue Time: 0.1500840187072754
Priority Class: 2 | Queue Time: 1.1212961673736572
Priority Class: 1 | Queue Time: 0.1454029083251953
Priority Class: 2 | Queue Time: 0.3314378261566162
Priority Class: 1 | Queue Time: 0.14309287071228027
Priority Class: 2 | Queue Time: 0.9768450260162354
Priority Class: 1 | Queue Time: 0.13969707489013672
Priority Class: 2 | Queue Time: 2.7040979862213135
Priority Class: 1 | Queue Time: 0.1332099437713623
Priority Class: 2 | Queue Time: 0.46596312522888184
Priority Class: 1 | Queue Time: 0.12252593040466309
Priority Class: 2 | Queue Time: 0.39472317695617676
Priority Class: 1 | Queue Time: 0.12333488464355469
Priority Class: 2 | Queue Time: 6.077742099761963
Priority Class: 1 | Queue Time: 0.12073016166687012
Priority Class: 2 | Queue Time: 0.6059980392456055
Priority Class: 1 | Queue Time: 0.11287283897399902
Priority Class: 2 | Queue Time: 6.289364814758301
Priority Class: 1 | Queue Time: 0.10874199867248535
Priority Class: 2 | Queue Time: 0.8191261291503906
Priority Class: 1 | Queue Time: 0.11626124382019043
Priority Class: 2 | Queue Time: 0.38256001472473145
Priority Class: 1 | Queue Time: 0.10940790176391602
Priority Class: 2 | Queue Time: 1.0262079238891602
Priority Class: 1 | Queue Time: 0.10342788696289062
Priority Class: 2 | Queue Time: 0.9470031261444092
Priority Class: 1 | Queue Time: 0.09746384620666504
Priority Class: 2 | Queue Time: 0.1502697467803955
Priority Class: 1 | Queue Time: 0.08812308311462402
Priority Class: 2 | Queue Time: 0.07081222534179688
Priority Class: 1 | Queue Time: 0.08217000961303711
Priority Class: 2 | Queue Time: 0.711848258972168
Priority Class: 1 | Queue Time: 0.0720357894897461
Priority Class: 2 | Queue Time: 1.354755163192749
Priority Class: 1 | Queue Time: 0.06821894645690918
Priority Class: 2 | Queue Time: 6.3270580768585205
Priority Class: 1 | Queue Time: 0.06707382202148438
Priority Class: 2 | Queue Time: 0.8515419960021973
Priority Class: 1 | Queue Time: 0.06435489654541016
Priority Class: 2 | Queue Time: 0.05746197700500488
Priority Class: 1 | Queue Time: 0.0622401237487793
Priority Class: 2 | Queue Time: 0.704948902130127
Priority Class: 1 | Queue Time: 0.06121015548706055
Priority Class: 2 | Queue Time: 0.989516019821167
Priority Class: 1 | Queue Time: 0.05232524871826172
Priority Class: 2 | Queue Time: 2.3523261547088623
Priority Class: 1 | Queue Time: 0.04765200614929199
Priority Class: 2 | Queue Time: 2.2811057567596436
Priority Class: 1 | Queue Time: 0.0439760684967041
Priority Class: 2 | Queue Time: 5.446975946426392
Priority Class: 1 | Queue Time: 0.03779888153076172
Priority Class: 2 | Queue Time: 0.33539509773254395
Priority Class: 1 | Queue Time: 0.03701186180114746
Priority Class: 2 | Queue Time: 2.784425973892212
Priority Class: 1 | Queue Time: 0.037007808685302734
Priority Class: 2 | Queue Time: 0.18355989456176758
Priority Class: 1 | Queue Time: 0.030392169952392578
