Priority Class: 3 | Queue Time: 53.13869524002075
Priority Class: 3 | Queue Time: 54.44203329086304
Priority Class: 3 | Queue Time: 55.583391427993774
Priority Class: 3 | Queue Time: 79.34401965141296
Priority Class: 3 | Queue Time: 85.29269123077393
Priority Class: 3 | Queue Time: 78.90121030807495
Priority Class: 3 | Queue Time: 59.669989824295044
Priority Class: 3 | Queue Time: 88.0723786354065
Priority Class: 3 | Queue Time: 78.80307459831238
Priority Class: 3 | Queue Time: 72.4163076877594
Priority Class: 3 | Queue Time: 86.69645190238953
Priority Class: 3 | Queue Time: 90.87581825256348
Priority Class: 3 | Queue Time: 75.84812045097351
Priority Class: 3 | Queue Time: 87.55772590637207
Priority Class: 3 | Queue Time: 87.57843542098999
Priority Class: 3 | Queue Time: 92.7203848361969
Priority Class: 3 | Queue Time: 79.9308853149414
Priority Class: 3 | Queue Time: 60.85330939292908
Priority Class: 3 | Queue Time: 83.49399065971375
Priority Class: 3 | Queue Time: 81.27534580230713
Priority Class: 3 | Queue Time: 67.1697027683258
Priority Class: 3 | Queue Time: 78.26902413368225
Priority Class: 3 | Queue Time: 64.6385817527771
Priority Class: 3 | Queue Time: 78.79429507255554
Priority Class: 3 | Queue Time: 85.37982726097107
Priority Class: 3 | Queue Time: 65.82284808158875
Priority Class: 3 | Queue Time: 85.4212920665741
Priority Class: 3 | Queue Time: 90.7274842262268
Priority Class: 3 | Queue Time: 95.5548927783966
Priority Class: 3 | Queue Time: 69.9148097038269
Priority Class: 3 | Queue Time: 70.25158476829529
Priority Class: 3 | Queue Time: 93.21077418327332
Priority Class: 3 | Queue Time: 75.10493302345276
Priority Class: 3 | Queue Time: 95.81318616867065
Priority Class: 3 | Queue Time: 94.39399862289429
Priority Class: 3 | Queue Time: 73.55837321281433
Priority Class: 3 | Queue Time: 92.35102343559265
Priority Class: 3 | Queue Time: 93.9720892906189
Priority Class: 3 | Queue Time: 73.29770040512085
Priority Class: 3 | Queue Time: 99.9409077167511
Priority Class: 3 | Queue Time: 100.12368202209473
Priority Class: 3 | Queue Time: 99.50047969818115
Priority Class: 3 | Queue Time: 105.28470230102539
Priority Class: 3 | Queue Time: 76.28305673599243
Priority Class: 3 | Queue Time: 76.14317011833191
Priority Class: 3 | Queue Time: 81.7770483493805
Priority Class: 3 | Queue Time: 103.28880786895752
Priority Class: 3 | Queue Time: 79.09208083152771
Priority Class: 3 | Queue Time: 81.99527716636658
Priority Class: 3 | Queue Time: 108.95437598228455
Priority Class: 3 | Queue Time: 96.4847183227539
Priority Class: 3 | Queue Time: 92.50247001647949
Priority Class: 3 | Queue Time: 111.57532858848572
Priority Class: 3 | Queue Time: 78.72568869590759
Priority Class: 3 | Queue Time: 104.09059286117554
Priority Class: 3 | Queue Time: 110.3653519153595
Priority Class: 3 | Queue Time: 87.4487419128418
Priority Class: 3 | Queue Time: 108.31653094291687
Priority Class: 3 | Queue Time: 97.44294691085815
Priority Class: 3 | Queue Time: 106.1114854812622
Priority Class: 3 | Queue Time: 87.68756771087646
Priority Class: 3 | Queue Time: 106.31945943832397
Priority Class: 3 | Queue Time: 97.68979096412659
Priority Class: 3 | Queue Time: 100.7559723854065
Priority Class: 3 | Queue Time: 89.05191946029663
Priority Class: 3 | Queue Time: 110.8854730129242
Priority Class: 3 | Queue Time: 91.65770626068115
Priority Class: 3 | Queue Time: 112.20994830131531
Priority Class: 3 | Queue Time: 109.18257856369019
Priority Class: 3 | Queue Time: 119.6130862236023
Priority Class: 3 | Queue Time: 111.14896154403687
Priority Class: 3 | Queue Time: 117.5738353729248
Priority Class: 3 | Queue Time: 118.23491311073303
Priority Class: 3 | Queue Time: 110.24651432037354
Priority Class: 3 | Queue Time: 107.54638600349426
Priority Class: 3 | Queue Time: 105.79947829246521
Priority Class: 3 | Queue Time: 109.18764901161194
Priority Class: 3 | Queue Time: 121.22012519836426
Priority Class: 3 | Queue Time: 121.56079149246216
Priority Class: 3 | Queue Time: 115.17740988731384
Priority Class: 3 | Queue Time: 109.11238527297974
Priority Class: 3 | Queue Time: 120.17855334281921
Priority Class: 3 | Queue Time: 109.14450025558472
Priority Class: 3 | Queue Time: 115.41764330863953
Priority Class: 3 | Queue Time: 97.78647470474243
Priority Class: 3 | Queue Time: 126.18896079063416
Priority Class: 3 | Queue Time: 114.6792221069336
Priority Class: 3 | Queue Time: 128.4706609249115
Priority Class: 3 | Queue Time: 112.79858326911926
Priority Class: 3 | Queue Time: 99.6486918926239
Priority Class: 3 | Queue Time: 117.80533409118652
Priority Class: 3 | Queue Time: 104.50189733505249
Priority Class: 3 | Queue Time: 102.5927050113678
Priority Class: 3 | Queue Time: 119.62710785865784
Priority Class: 3 | Queue Time: 121.24714827537537
Priority Class: 3 | Queue Time: 124.46721935272217
Priority Class: 3 | Queue Time: 117.7666757106781
Priority Class: 3 | Queue Time: 118.7499930858612
Priority Class: 3 | Queue Time: 127.57945585250854
Priority Class: 3 | Queue Time: 120.54935717582703
Priority Class: 3 | Queue Time: 105.96087622642517
Priority Class: 3 | Queue Time: 131.32196831703186
Priority Class: 3 | Queue Time: 127.81456470489502
Priority Class: 3 | Queue Time: 106.50011491775513
Priority Class: 3 | Queue Time: 121.61212205886841
Priority Class: 3 | Queue Time: 110.70956802368164
Priority Class: 3 | Queue Time: 137.82859635353088
Priority Class: 3 | Queue Time: 136.73270273208618
Priority Class: 3 | Queue Time: 132.10463333129883
Priority Class: 3 | Queue Time: 107.42317032814026
Priority Class: 3 | Queue Time: 127.66124367713928
Priority Class: 3 | Queue Time: 113.07495403289795
